货架,货位,服装ID,数量
A,1,4a507db7-7c52-2c22-d6a6-77ade48625bd,8
A,2,33783757-e89e-3262-f0a4-e9db956ca1c3,6
A,3,79eb1d76-a37e-a575-7445-1be57fc63842,2
A,4,6aa05e8e-456e-35a5-df0a-fe1ffc2798d4,6
A,5,d3c5f8b7-b5cf-d9ec-91f2-b1db95a82cc9,7
A,6,,
A,7,,
A,8,,
A,9,3a8497ca-a598-ba50-dd0c-4df42d9f0532,2
A,10,fc25a168-bb33-f997-6572-8655f829361c,5
A,11,2f43da55-beb5-fe84-dbdd-0d8d04040b51,6
A,12,eefdc6d2-8dd3-11cb-d7b6-49731edc0e1d,8
B,1,8422024f-cfbc-9309-d884-07db3221fbec,12
B,2,30eef49c-ce14-3305-d813-5dbde54560d1,5
B,3,1e177873-f647-af1c-487e-c126d697e0c6,12
B,4,db332b44-85f3-c428-c131-6c7f69596214,22
B,5,e4ee88ce-fd23-43a7-fccb-fca0bd597f38,3
B,6,202fcfea-e5e7-6051-81cb-77dcbc265e50,11
B,7,9be101d5-e5b2-d805-2eed-3afa6d0e9627,18
B,8,696c347f-c48f-a2b9-855c-6a6f997aa054,9
B,9,cf160a58-8058-b217-a272-2f60091928c9,2
B,10,,
B,11,,
B,12,,
C,1,37fba7ba-20f6-efac-5152-411ef521a383,12
C,2,11c01bad-8319-def3-6409-d086cf5fba4c,9
C,3,3020117f-7d45-32d5-1260-25433e829d49,6
C,4,b233bb40-fbb1-81eb-a676-badb22d54aa9,3
C,5,3f008cd2-d81d-54c5-9d89-5de1254b3c1a,8
C,6,97a7c75e-dab0-6fb5-9b3d-28d1c272cb2d,4
C,7,,
C,8,,
C,9,,
C,10,,
C,11,,
C,12,,
D,1,e980f88b-2116-ffd2-aaac-47a92c092ed8,2
D,2,0594b6c4-d1b1-e2c0-36d0-e2a022b43c0c,1
D,3,ce42b3b2-a96f-a812-9216-494f33d1527c,2
D,4,8393aae1-4cbd-3323-70bf-12d871390abb,3
D,5,8aa95f76-f6b9-576d-66ef-91673817c13a,6
D,6,0df1a700-2904-9b2d-a888-3535958ff3b3,9
D,7,01ad995a-9322-9668-bd47-726377baf99c,2
D,8,fb76b14f-ba23-0825-3609-283ad7fd6001,4
D,9,,
D,10,,
D,11,,
D,12,,
,,,
,,,
