订单id,订购产品ID,订购数量
XUN1UOX4,33783757-e89e-3262-f0a4-e9db956ca1c3,1
,700e6854-1992-4724-a9c5-e6924df52874,2
TSJAT8HR,8393aae1-4cbd-3323-70bf-12d871390abb,1
EQGJ1TRN,01ad995a-9322-9668-bd47-726377baf99c,1
0YDS9EBJ,cf160a58-8058-b217-a272-2f60091928c9,1
LVABIPL5,3020117f-7d45-32d5-1260-25433e829d49,1
GT7KH9V1,8393aae1-4cbd-3323-70bf-12d871390abb,1
,bb27f83d-7de4-4905-9942-e7d655e2fe19,2
214UPUFO,8422024f-cfbc-9309-d884-07db3221fbec,1
NY13XEPK,79eb1d76-a37e-a575-7445-1be57fc63842,1
9WYCWZ9G,4a507db7-7c52-2c22-d6a6-77ade48625bd,1
,4687e499-4673-4fca-96d0-e953422b4cb9,2
U4VL4KJ2,33783757-e89e-3262-f0a4-e9db956ca1c3,1
,4a5326ad-39cf-409f-8d33-7cb781cc6737,2
P2SVDV3Y,1e177873-f647-af1c-487e-c126d697e0c6,2
B9P4LFDL,db332b44-85f3-c428-c131-6c7f69596214,3
X7MDK0WH,9be101d5-e5b2-d805-2eed-3afa6d0e9627,2
,4a5326ad-39cf-409f-8d33-7cb781cc6737,1
I5JMSL7D,3f008cd2-d81d-54c5-9d89-5de1254b3c1a,1
DCFW05QZ,700e6854-1992-4724-a9c5-e6924df52874,2
,86e21804-145d-4b6f-bb9e-fcc3e81ed6fd,1
,4a5326ad-39cf-409f-8d33-7cb781cc6737,1
ZACE9Q0V,700e6854-1992-4724-a9c5-e6924df52874,1
K89O7AKI,4687e499-4673-4fca-96d0-e953422b4cb9,1
,4a5326ad-39cf-409f-8d33-7cb781cc6737,1
6FXXGMUE,51b1c907-ac0f-42b3-8ffa-175d67a944dd,1
RDU6O6EA,1531a85c-8438-478a-9e14-2e89afd438bc,1
MBRFNROW,9be101d5-e5b2-d805-2eed-3afa6d0e9627,1
